step,x,y,z,rx,ry,rz,gripper
0,-0.014692,-0.004865,-0.013817,-0.069268,-0.044924,0.013373,0.0
1,-0.068024,-0.050127,-0.137956,-0.090669,-0.038414,0.07299,0.0
2,-0.095465,-0.07214,-0.258303,0.020304,0.030193,0.076657,0.0
3,-0.083254,-0.077546,-0.358644,0.241327,0.177066,0.037007,0.0
4,-0.042236,-0.054842,-0.397654,0.358181,0.301996,-0.035086,0.0
5,-0.001855,-0.005499,-0.36953,0.286482,0.339668,-0.080802,0.0
6,0.035306,0.061902,-0.281812,0.206317,0.238589,0.026718,0.0
7,0.042783,0.109624,-0.200023,0.239521,0.148276,0.107488,0.0
8,0.045269,0.119774,-0.120473,0.136713,0.112392,0.103528,0.0
9,0.011624,0.03225,-0.026998,0.024119,0.027682,0.029251,0.0
10,0.083897,0.059234,-0.062602,0.068248,0.037763,0.208235,0.0
11,0.161269,0.14132,-0.079853,0.085012,0.009888,0.326504,0.0
12,0.169681,0.132872,-0.062276,0.20016,-0.053092,0.14417,0.0
13,0.041687,0.035336,-0.016235,0.066048,-0.011851,0.024994,0.0
14,0.022413,-0.002623,0.002871,0.00426,-0.031281,-0.023123,0.0
15,-0.014792,0.007248,-0.08407,0.029628,-0.006383,-0.166397,0.0
16,-0.022019,0.003653,-0.139553,0.253655,0.153647,-0.339735,0.0
17,-0.009466,0.003529,-0.035887,0.078419,0.042484,-0.088337,0.0
18,-0.008472,0.002766,-0.024793,0.022426,0.034091,-0.02814,0.0
19,0.019198,-0.013382,-0.008551,0.007843,-0.03938,-0.031547,0.0
20,0.098525,-0.043931,-0.01688,0.135237,-0.125392,-0.067766,0.0
21,0.131366,-0.057932,-0.014571,0.255732,-0.206064,-0.046646,0.0
22,0.012968,-0.002359,-0.010614,0.092,-0.020104,0.015744,0.0
23,0.028253,-0.017395,0.006464,0.007937,-0.044683,-0.021391,0.0
24,0.037774,0.02266,-0.028351,-0.226786,-0.001101,-0.072423,0.0
